year,quarter,date,cik,posWords,nltkSentiment,car0,car1,car5,cav0,cav1,cav5
1995,QTR1,1995-01-03,20520,0.4498962264150944,-0.005227781926811053,0.008757225312198389,-0.004810771060237468,-0.03111649028280944,1.549833841524372,3.077153985534327,7.300020747743154
1995,QTR1,1995-01-05,67182,0.11982844036697245,-0.0038289725590299937,0.00025113863966937794,-0.00217491245668711,0.004540924115707171,-0.7783084733567234,-2.5488313178389514,-1.9235808383310977
1995,QTR1,1995-01-05,98246,0.3915466666666667,0.028953229398663693,-0.010004267329622507,-0.1752807705995332,-0.24594350558645753,0.966931044571834,4.513991618760011,9.033458993808104
1995,QTR1,1995-01-09,45012,0.11775000000000002,0.004615384615384616,-0.016689419109276796,-0.0076855702694508705,0.0030804012397064404,-0.1647389588245892,0.6370218728963181,-3.361114540063538
1995,QTR1,1995-01-10,19150,0.28251818181818183,-0.005681818181818182,-0.006973258378787794,0.004961192740390157,0.042140998670580035,1.787691965794948,5.476610006431652,9.530903565788101
1995,QTR1,1995-01-11,880416,0.12014375,-0.024482109227871942,,,,,,
1995,QTR1,1995-01-12,6071,0.2079439024390244,0.0,-0.0597603839182582,-0.007241471802473004,-0.09217459376179327,-2.705572798818484,-3.213039059024414,-6.247330087139335
1995,QTR1,1995-01-12,797541,0.2678428571428571,0.029972752043596732,0.04312354433660495,0.007408703354224118,0.007408703354224118,-1.4597727918802976,0.3442209175185841,0.3442209175185841
1995,QTR1,1995-01-13,785161,0.3938906976744185,-0.0047151277013752465,-0.035243641410852754,-0.04978961965939724,-0.042157744010605964,-1.7660040646045294,-2.829471446357937,-4.9499265396625445
1995,QTR1,1995-01-17,9626,0.4409175,0.0004945598417408506,,,,,,
1995,QTR1,1995-01-17,721669,0.2375209523809521,-0.027339681595000744,-0.0223500035147782,-0.19304187740084686,-0.25562109713845926,2.396794127859421,7.752831521333629,9.532809059285801
1995,QTR1,1995-01-19,20405,0.1698531986531986,-0.00407147704139335,,,,,,
1995,QTR1,1995-01-19,42246,0.2819265350877192,-0.021627616802994597,-0.001137874271314232,0.028057036105648317,0.043790734894178535,-1.3379032312912824,-1.4351282819994868,-1.5240684827725055
1995,QTR1,1995-01-20,6769,0.2922238095238095,0.003048780487804878,0.0017781976267556825,0.03860680642919808,0.08950311047347481,-1.6507500520278124,-1.7058072665447868,-2.2923307514584046
1995,QTR1,1995-01-20,45876,0.3203833333333333,0.013404825737265416,0.0019540973158031654,0.007501115820930385,0.031121262042005875,-0.335671577384874,0.3369117707566227,3.2528540852650467
1995,QTR1,1995-01-20,50863,0.24726396396396394,0.0007493443237167477,-0.016803099536617815,0.03625002008442567,0.043352976735094965,1.1035226221692525,2.7651593972166304,6.365342628663236
1995,QTR1,1995-01-20,67182,0.14911134020618558,-0.00047036688617121356,0.008207175274979842,0.029885946602872228,0.03776535360305248,1.9552692148005497,4.6392382369822815,8.971459019206012
1995,QTR1,1995-01-20,90498,0.4271578947368421,0.0012391573729863693,-0.06186494134186138,-0.01970421526986437,-0.02320997214168405,0.7368109671104967,1.1666847748400748,-0.29084970373277036
1995,QTR1,1995-01-20,201499,0.5504953488372095,-0.006913295749146126,,,,,,
1995,QTR1,1995-01-23,51467,0.5785523809523809,-0.028598665395614876,-0.045161803651061976,-0.04519510183982134,-0.07352643298328494,0.5464726634178393,2.0281427464832498,3.7290248863246505
1995,QTR1,1995-01-24,20164,0.3658923076923077,-0.005804672761573065,,,,,,
1995,QTR1,1995-01-24,42246,0.3161559124087596,-0.014306461082099929,0.019190683721859267,0.05604425819778887,0.02731254046833643,-0.04089699165868826,0.7597013276084301,-2.2099975118191835
1995,QTR1,1995-01-25,316236,0.35186530612244904,-0.011618900077459334,,,,,,
1995,QTR1,1995-01-25,883701,0.402348275862069,-0.004541326067211626,0.01277599108146434,0.045185181705646005,-0.003323570592690606,0.3568830689849397,-0.7416516266076181,-1.0202706698598996
1995,QTR1,1995-01-26,78003,0.454325,0.004101722723543888,0.01194188627327539,0.005850134884596753,0.016979956098017706,0.16857893947599506,-0.25363931956735053,4.353004812884994
1995,QTR1,1995-01-26,80424,0.28990256410256404,-0.00453514739229025,0.0017856502189193511,0.0342086321050241,0.04387767308643107,0.2157383253948907,2.091321493143272,3.732607740904812
1995,QTR1,1995-01-26,793937,0.3717151515151516,-0.00211864406779661,0.02832745345538719,0.05006242699263416,0.11413865519994754,0.13371870178863052,-0.9960914865381466,-1.1340001047269928
1995,QTR1,1995-01-26,801898,0.3185,0.0,,,,,,
1995,QTR1,1995-01-27,79732,0.30838395833333304,0.00034032126327252925,,,,,,
1995,QTR1,1995-01-27,97476,0.21432857142857145,0.009216589861751152,0.022631932055252022,-0.011078462917624703,-0.07356633550265468,2.573392827255388,5.528021125467026,14.384167469162557
1995,QTR1,1995-01-30,46738,0.3602636363636364,0.00706713780918728,,,,,,
1995,QTR1,1995-01-30,202131,0.4754551847437426,-0.012062775669299416,,,,,,
1995,QTR1,1995-01-30,719413,0.21851875,-0.01956745623069001,-0.023683265119217083,0.017614437427321147,-0.023155394677477695,0.7865315748578442,2.150052963222699,1.5272914722690938
1995,QTR1,1995-01-30,778169,0.3868003184713375,-0.03230842326749474,,,,,,
1995,QTR1,1995-01-31,25890,0.4827688811188814,-0.01203671961299661,,,,,,
1995,QTR1,1995-02-01,25598,0.40442857142857147,0.016105417276720352,,,,,,
1995,QTR1,1995-02-03,320187,0.3225,-0.005235602094240838,0.0032561970857254725,-0.0465541069203621,-0.07595684615425308,0.09279080886732378,2.4504218718843847,2.1786151418105772
