DATE,MKTRETURN
1993-01-04,-0.002487302911909225
1993-01-05,-0.0009354466153184094
1993-01-06,0.0017284502341771138
1993-01-07,-0.007746579238245542
1993-01-08,-0.003794870387992522
1993-01-11,0.004517260831267591
1993-01-12,0.00017151610070683862
1993-01-13,0.00604994604597246
1993-01-14,0.008514260663872623
1993-01-15,0.004177499287734148
1993-01-18,0.00017729838640749036
1993-01-19,-0.003216502166615282
1993-01-20,-0.0021978949543065675
1993-01-21,0.004708256226655936
1993-01-22,0.0034188508226365203
1993-01-25,0.00941628401244148
1993-01-26,0.0008669548664399672
1993-01-27,-0.005593654625517133
1993-01-28,0.0005753064118080566
1993-01-29,0.0012030662295828883
1993-02-01,0.009524815929006385
1993-02-02,0.0022117256517527177
1993-02-03,0.010566612820397184
1993-02-04,0.0066381176384505336
1993-02-05,-0.0024294255529957983
1993-02-08,-0.00219829277422447
1993-02-09,-0.006875606971731494
1993-02-10,0.002864854885491098
1993-02-11,0.003968066036841324
1993-02-12,-0.006535406575262996
1993-02-16,-0.025981224040438816
1993-02-17,-0.003977497415070389
1993-02-18,-0.0005913729035726505
1993-02-19,0.005418331586690076
1993-02-22,-0.0004723119478705573
1993-02-23,0.000624130691353494
1993-02-24,0.016163285477493867
1993-02-25,0.004459714983578234
1993-02-26,0.004014103144875675
1993-03-01,-0.000703443807655113
1993-03-02,0.013684945208055766
1993-03-03,0.005491297429861158
1993-03-04,-0.0038336256798112735
1993-03-05,-0.0014442460766228627
1993-03-08,0.016585402536536956
1993-03-09,0.0011501991079092835
1993-03-10,0.006011931767298974
1993-03-11,-0.0035406438987249014
1993-03-12,-0.007404069184692407
1993-03-15,0.004174801326725155
1993-03-16,-9.200064303348006e-05
1993-03-17,-0.007129998038686222
1993-03-18,0.007726528482778296
1993-03-19,-0.0048004723201308195
1993-03-22,-0.0040980692077406105
1993-03-23,-0.00016315899687024325
1993-03-24,-0.00031127125104654527
1993-03-25,0.007766163239864952
1993-03-26,-0.004129962517434993
1993-03-29,0.005141706318417965
1993-03-30,0.005121611133828086
1993-03-31,0.0019041313873746748
1993-04-01,-0.0031706890155216555
1993-04-02,-0.018768375059429514
1993-04-05,0.0018986080586901463
1993-04-06,-0.0038773171967042444
1993-04-07,0.0036140890718105324
1993-04-08,-0.0018039160099996927
1993-04-12,0.014190920886482829
1993-04-13,0.0035703875205520923
1993-04-14,1.3363886673785036e-05
1993-04-15,-0.0011279673722549212
1993-04-16,0.00018018474936236264
1993-04-19,-0.0030015837305114143
1993-04-20,-0.004569620504593455
1993-04-21,-0.001310975261087219
1993-04-22,-0.007542765313922839
1993-04-23,-0.006305351422689024
1993-04-26,-0.009460431359551134
1993-04-27,0.010060418263549245
1993-04-28,0.002022023445775776
1993-04-29,0.0032825232262905122
1993-04-30,0.004643204384770488
1993-05-03,0.006264853413498137
1993-05-04,0.006701755534927167
1993-05-05,0.00437174992122804
1993-05-06,-0.0024045483143078743
1993-05-07,-0.001059390103331733
1993-05-10,0.0019522946635870408
1993-05-11,0.003763480674610671
1993-05-12,0.000621231827787474
1993-05-13,-0.01072787489573761
1993-05-14,0.0008443880302444088
1993-05-17,0.0017331448216326456
1993-05-18,0.0012984681157727105
1993-05-19,0.014994269028679303
1993-05-20,0.007536387993326596
1993-05-21,-0.007921437970419032
1993-05-24,0.003535952882210137
1993-05-25,0.00377254733305754
1993-05-26,0.011086252625190756
1993-05-27,-0.0010146463127918442
1993-05-28,-0.004136988961391179
1993-06-01,0.008324570168080416
1993-06-02,0.0009996112577028472
1993-06-03,-0.0020300095387150207
1993-06-04,-0.0058588264877347165
1993-06-07,-0.006425788094039535
1993-06-08,-0.007037655484236205
1993-06-09,0.0034338055793826914
1993-06-10,-0.0009178893915442357
1993-06-11,0.004097826358451175
1993-06-14,0.0017473445454034878
1993-06-15,-0.0008230191732817567
1993-06-16,0.0018470978935683682
1993-06-17,0.0030289589251612974
1993-06-18,-0.009551759051743334
1993-06-21,0.0043993013393486555
1993-06-22,-0.0006639203527588224
1993-06-23,-0.0038365954263821873
1993-06-24,0.007410229429924995
1993-06-25,0.0047734777755485385
1993-06-28,0.010788873761601283
1993-06-29,-0.0017344514392346896
1993-06-30,0.001571032605716573
1993-07-01,-0.0013803810921543605
1993-07-02,-0.004807842588978566
1993-07-06,-0.008253061535833417
1993-07-07,0.0019345017378287076
1993-07-08,0.011183703831924746
1993-07-09,0.0007998735560092786
1993-07-12,0.0023746955947991297
1993-07-13,-7.107904401968011e-05
1993-07-14,0.005031561511447116
1993-07-15,-0.0020031415375435283
1993-07-16,-0.007872368484564471
1993-07-19,-0.0010260417414781385
1993-07-20,0.002799697962980715
1993-07-21,-0.0005094220319375906
1993-07-22,-0.0058223327890647115
1993-07-23,0.006228853545591996
1993-07-26,0.0062082581431229114
1993-07-27,-0.0012850093451781928
1993-07-28,-0.00037009161937064865
1993-07-29,0.006533458716911101
1993-07-30,-0.003674706385290529
1993-08-02,0.005112882638662918
1993-08-03,6.194893747675768e-05
1993-08-04,-0.00022881708277162004
1993-08-05,-0.0006232316557198933
1993-08-06,0.002363375350622073
1993-08-09,0.005820033183584856
1993-08-10,-0.00151270332553257
1993-08-11,0.002238986509691987
1993-08-12,-0.0027481013105538975
1993-08-13,0.0028040293607423414
1993-08-16,0.006341143267079027
1993-08-17,0.004229751135336294
1993-08-18,0.007604540570641641
1993-08-19,0.00070365269095683
1993-08-20,0.000907066986124421
1993-08-23,-0.0010562552836667202
1993-08-24,0.00985917404689563
1993-08-25,0.0006630031803456332
