,year,quarter,date,cik,posWords,nltkSentiment
0,1995,QTR1,1995-02-15,68100,0.2878933333333333,0.021505376344086023
1,1995,QTR1,1995-01-30,46738,0.3602636363636364,0.007067137809187279
2,1995,QTR1,1995-03-24,105982,0.4590274117647056,-0.007583406250701128
3,1995,QTR1,1995-03-10,109710,0.27236666666666665,0.004024144869215292
4,1995,QTR1,1995-01-10,19150,0.28251818181818183,-0.005681818181818182
5,1995,QTR1,1995-03-14,793024,0.13494736842105265,0.00404040404040404
6,1995,QTR1,1995-03-17,706539,0.15068402777777762,-0.005789981577331345
7,1995,QTR1,1995-03-10,7332,0.3061888888888889,0.0033444816053511705
8,1995,QTR1,1995-03-08,45370,0.18763846153846156,-0.010619469026548672
9,1995,QTR1,1995-01-05,98246,0.3915466666666667,0.028953229398663696
10,1995,QTR1,1995-01-12,797541,0.2678428571428571,0.02997275204359673
11,1995,QTR1,1995-03-09,65100,0.3254797551789073,-0.0030970149253731344
12,1995,QTR1,1995-03-31,319687,0.25908000000000003,-0.01749271137026239
13,1995,QTR1,1995-02-21,860730,0.30791379310344824,0.01478953356086462
14,1995,QTR1,1995-03-27,96793,0.44374795454545446,-0.018683651804670912
15,1995,QTR1,1995-03-08,23304,0.4555904255319148,-0.02030967223004223
16,1995,QTR1,1995-03-23,23217,0.31851666666666667,0.009153318077803204
17,1995,QTR1,1995-01-26,78003,0.454325,0.004101722723543888
18,1995,QTR1,1995-02-03,732713,0.3288380952380952,-0.016710642040457344
19,1995,QTR1,1995-01-20,50863,0.24726396396396394,0.0007493443237167478
20,1995,QTR1,1995-01-20,90498,0.42715789473684207,0.0012391573729863693
21,1995,QTR1,1995-02-24,82329,0.36872727272727274,0.011933174224343675
22,1995,QTR1,1995-02-17,106015,0.22191546961325953,-0.010475557033588294
23,1995,QTR1,1995-02-15,356080,0.3835668885191349,-0.03478525429744942
24,1995,QTR1,1995-03-13,26938,0.21437616487455194,-0.023018814139110604
25,1995,QTR1,1995-03-27,721237,0.2726742808798644,-0.03311735061195104
26,1995,QTR1,1995-03-01,86940,0.24826505576208194,-0.0003497726477789437
27,1995,QTR1,1995-02-15,354869,0.3304457446808512,-0.005492184199408534
28,1995,QTR1,1995-02-22,778169,0.26497272727272725,-0.007653061224489796
29,1995,QTR1,1995-03-08,812482,0.3003722222222222,0.0038910505836575876
30,1995,QTR1,1995-01-30,719413,0.21851875,-0.01956745623069001
31,1995,QTR1,1995-01-19,20405,0.1698531986531986,-0.00407147704139335
32,1995,QTR1,1995-03-02,30927,0.27467619047619046,-0.023274478330658106
33,1995,QTR1,1995-03-17,4570,0.25162,0.0
34,1995,QTR1,1995-01-20,6769,0.2922238095238095,0.003048780487804878
35,1995,QTR1,1995-01-27,79732,0.308383958333333,0.00034032126327252925
36,1995,QTR1,1995-02-10,716180,0.29351428571428567,-0.010273972602739725
37,1995,QTR1,1995-02-24,7649,0.47576999999999997,0.004201680672268907
38,1995,QTR1,1995-01-17,721669,0.23752095238095214,-0.027339681595000744
39,1995,QTR1,1995-01-20,67182,0.14911134020618558,-0.00047036688617121356
40,1995,QTR1,1995-01-26,793937,0.37171515151515155,-0.00211864406779661
41,1995,QTR1,1995-02-21,785161,0.29003500000000004,0.007987220447284345
42,1995,QTR1,1995-03-14,763739,0.14544814814814816,-0.003658536585365854
43,1995,QTR1,1995-03-13,317745,0.23295172413793103,-0.010536101642392316
44,1995,QTR1,1995-03-16,789933,0.28090454545454546,0.012515644555694618
45,1995,QTR1,1995-03-10,40638,0.35029999999999994,0.0009182736455463728
46,1995,QTR1,1995-02-03,320187,0.3225,-0.005235602094240838
47,1995,QTR1,1995-02-27,320187,0.5858613636363637,-0.009032743695897629
48,1995,QTR1,1995-02-09,46080,0.39503333333333335,0.0034762456546929316
49,1995,QTR1,1995-03-01,719798,0.15053076923076925,-0.007556675062972292
50,1995,QTR1,1995-03-09,31791,0.26730000000000004,0.007633587786259542
51,1995,QTR1,1995-03-07,719598,0.2988333333333334,0.013100436681222707
52,1995,QTR1,1995-01-20,45876,0.32038333333333335,0.013404825737265416
53,1995,QTR1,1995-02-21,60026,0.24256791666666647,-0.005965252404742376
54,1995,QTR1,1995-01-27,97476,0.21432857142857142,0.009216589861751152
55,1995,QTR1,1995-02-14,723603,0.29571884057971026,0.013305613305613306
56,1995,QTR1,1995-03-29,816956,0.3717227236737917,-0.015969650438081476
57,1995,QTR1,1995-03-27,721683,0.4318,-0.006493506493506494
58,1995,QTR1,1995-01-30,778169,0.3868003184713375,-0.03230842326749474
59,1995,QTR1,1995-01-13,785161,0.3938906976744185,-0.004715127701375246
60,1995,QTR1,1995-03-03,36204,0.28727391304347827,0.0028129395218002813
61,1995,QTR1,1995-01-24,42246,0.3161559124087596,-0.014306461082099929
62,1995,QTR1,1995-03-07,318154,0.5117654320987652,-0.0008539709649871904
63,1995,QTR1,1995-03-30,714310,0.47817500000000007,0.008456659619450317
64,1995,QTR1,1995-01-23,51467,0.578552380952381,-0.028598665395614873
65,1995,QTR1,1995-02-06,104030,0.22305999999999998,-0.006535947712418301
66,1995,QTR1,1995-02-06,61986,0.16731666666666667,-0.0076481835564053535
67,1995,QTR1,1995-03-22,806641,0.27305588235294115,0.006936416184971098
68,1995,QTR1,1995-02-09,15615,0.40437766323024055,-0.020373823275274
69,1995,QTR1,1995-01-19,42246,0.2819265350877192,-0.021627616802994593
70,1995,QTR1,1995-01-25,883701,0.402348275862069,-0.004541326067211626
71,1995,QTR1,1995-03-24,746838,0.32106,-0.0049261083743842365
